State,County,Year,Population,Unemployment Rate,2019 Median Income
OR,Columbia County,2000,"43,634",5.2,
OR,Coos County,2000,"62,662",3.6,
OR,Crook County,2000,"19,262",7.2,
OR,Curry County,2000,"21,133",4.6,
OR,Deschutes County,2000,"116,566",5.3,
OR,Douglas County,2000,"100,485",2.1,
OR,Gilliam County,2000,"1,908",4.8,
OR,Grant County,2000,"7,906",4,
OR,Harney County,2000,"7,661",8.4,
OR,Hood River County,2000,"20,461",6.6,
OR,Jackson County,2000,"181,775",5.2,
OR,Jefferson County,2000,"19,113",4,
OR,Josephine County,2000,"75,851",7,
OR,Klamath County,2000,"63,885",7.3,
OR,Lake County,2000,"7,428",7.3,
OR,Lane County,2000,"323,492",2.8,
OR,Lincoln County,2000,"44,317",6.2,
OR,Linn County,2000,"103,020",2.3,
OR,Malheur County,2000,"31,540",7.6,
OR,Marion County,2000,"285,411",6.7,
OR,Morrow County,2000,"10,995",4,
OR,Multnomah County,2000,"661,654",4.6,
OR,Polk County,2000,"62,596",4.1,
OR,Sherman County,2000,"1,921",2.7,
OR,Tillamook County,2000,"24,253",5.2,
OR,Umatilla County,2000,"70,728",6.1,
OR,Union County,2000,"24,537",4.8,
OR,Wallowa County,2000,"7,220",7.5,
OR,Wasco County,2000,"23,837",6.1,
OR,Washington County,2000,"447,980",6.8,
OR,Wheeler County,2000,"1,546",6.3,
OR,Yamhill County,2000,"85,198",4.9,
OK,Oklahoma,2001,"3,467,100",3.7,
OK,Adair County,2001,"21,101",2.7,
OK,Alfalfa County,2001,"5,933",3,
OK,Atoka County,2001,"13,816",4.4,
OK,Beaver County,2001,"5,657",2.6,
OK,Beckham County,2001,"19,937",3.2,
OK,Blaine County,2001,"11,915",3.4,
OK,Bryan County,2001,"36,577",3.1,
OK,Caddo County,2001,"29,677",4.5,
OK,Canadian County,2001,"89,931",3.1,
OK,Carter County,2001,"45,455",10.2,
OK,Cherokee County,2001,"43,066",4.5,
OK,Choctaw County,2001,"15,165",7.1,
OK,Cimarron County,2001,"3,009",2.8,
OK,Cleveland County,2001,"213,414",5.8,
OK,Coal County,2001,"6,010",5.3,
OK,Comanche County,2001,"113,551",2.6,
OK,Cotton County,2001,"6,404",3.5,
OK,Craig County,2001,"14,768",3.9,
OK,Creek County,2001,"67,768",3.6,
OK,Custer County,2001,"25,778",4.1,
OK,Delaware County,2001,"37,606",4.8,
OK,Dewey County,2001,"4,645",2.8,
OK,Ellis County,2001,"3,923",2.9,
OK,Garfield County,2001,"57,279",3.2,
OK,Garvin County,2001,"27,034",3.7,
OK,Grady County,2001,"45,856",4.3,
OK,Grant County,2001,"5,047",5.2,
OK,Greer County,2001,"5,894",4.3,
OK,Harmon County,2001,"3,153",3.4,
OK,Harper County,2001,"3,444",3.6,
OK,Haskell County,2001,"11,790",2.8,
OK,Hughes County,2001,"13,821",5.5,
OK,Jackson County,2001,"28,036",6.5,
OK,Jefferson County,2001,"6,663",4.3,
OK,Johnston County,2001,"10,505",4.2,
OK,Kay County,2001,"47,518",4.1,
OK,Kingfisher County,2001,"13,910",2.4,
OK,Kiowa County,2001,"10,054",2.8,
OK,Latimer County,2001,"10,637",4.9,
OK,Le Flore County,2001,"48,018",5.2,
OK,Lincoln County,2001,"32,295",7.3,
OK,Logan County,2001,"34,657",5.1,
OK,Love County,2001,"8,749",3.9,
OK,McClain County,2001,"27,871",3.6,
OK,McCurtain County,2001,"33,944",5.3,
OK,McIntosh County,2001,"19,451",4.2,
OK,Major County,2001,"7,575",2.8,
OK,Marshall County,2001,"13,372",5.5,
OK,Mayes County,2001,"38,554",4.2,
OK,Murray County,2001,"12,689",4.2,
OK,Muskogee County,2001,"69,428",4.3,
OK,Noble County,2001,"11,491",5.6,
OK,Nowata County,2001,"10,593",4.3,
OK,Okfuskee County,2001,"11,858",4.2,
OK,Oklahoma County,2001,"664,836",3.9,
OK,Okmulgee County,2001,"39,618",4.7,
OK,Osage County,2001,"45,227",4.7,
OK,Ottawa County,2001,"33,047",3.7,
OK,Pawnee County,2001,"16,779",3,
OK,Payne County,2001,"70,132",2.8,
OK,Pittsburg County,2001,"43,447",4.4,
OK,Pontotoc County,2001,"34,866",5.3,
OK,Pottawatomie County,2001,"66,222",3.9,
OK,Pushmataha County,2001,"11,613",6,
OK,Roger Mills County,2001,"3,334",2.4,
OK,Rogers County,2001,"73,091",3,
OK,Seminole County,2001,"24,719",4.1,
OK,Sequoyah County,2001,"39,308",4.9,
OK,Stephens County,2001,"42,796",5.1,
OK,Texas County,2001,"19,945",5.9,
OK,Tillman County,2001,"9,203",4.1,
OK,Tulsa County,2001,"566,175",3.3,
OK,Wagoner County,2001,"58,944",3,
OK,Washington County,2001,"48,897",8.9,
OK,Washita County,2001,"11,362",2.9,
OK,Woods County,2001,"8,882",2.7,
OK,Woodward County,2001,"18,365",2.9,
IA,Adair County,2001,"8,132",2.7,
IA,Adams County,2001,"4,402",4,
IA,Allamakee County,2001,"14,333",4,
IA,Appanoose County,2001,"13,578",5.2,
IA,Audubon County,2001,"6,664",3.2,
IA,Benton County,2001,"25,532",3,
IA,Black Hawk County,2001,"127,765",3.4,
IA,Boone County,2001,"26,249",5.3,
IA,Bremer County,2001,"23,506",3.1,
IA,Buchanan County,2001,"20,952",3.9,
IA,Buena Vista County,2001,"20,241",2.7,
IA,Butler County,2001,"15,065",7.5,
IA,Calhoun County,2001,"10,918",5.5,
IA,Carroll County,2001,"21,225",4.1,
IA,Cass County,2001,"14,488",4.4,
IA,Cedar County,2001,"18,126",2.8,
IA,Cerro Gordo County,2001,"45,844",3.4,
