,State,County,Wind Farm Name,Year,Turbine Count,WF Total MW,Turbine Manufacturer,Turbine Model,Turbine Hub Height,Rotor Diameter,lng,lat,Duplicated
9572,MA,Barnstable County,Cape Cod Regional Transit Authority,2010.0,1,0.1,Northern Power Systems,NW100,,21.0,-70.1444,41.69009,False
9573,TX,Sterling County,Capricorn Ridge,2007.0,208,364.0,Siemens Gamesa Renewable Energy,SG-2.3-108,80.0,108.0,-100.9269,31.8627,False
9785,TX,Sterling County,Capricorn Ridge expansion,2008.0,199,298.5,GE Wind,GE1.5-91,80.0,91.0,-100.96389,31.9281,False
9982,NM,Quay County,Caprock Wind Ranch,2005.0,20,20.0,Mitsubishi,MWT62/1.0,69.0,61.4,-103.42459,34.98439,False
10062,IL,McDonough County,Cardinal Point,2020.0,60,150.0,GE Wind,GE2.5-127,89.0,127.0,-90.75955,40.61642,False
10123,MN,Rice County,Carleton College,2011.0,1,1.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.12791,44.46874,False
10125,CO,Kit Carson County,Carousel,2015.0,88,149.6,GE Wind,GE1.7-100,80.0,100.0,-102.15028,39.3384,False
10213,IA,Carroll County,Carroll,2008.0,100,150.0,GE Wind,GE1.5-91.5,80.0,91.5,-94.97249,42.17469,False
10316,IA,Carroll County,Carroll Area,2015.0,9,20.0,Siemens,SWT-2.3-108,80.0,108.0,-94.89042,41.93733,False
10325,SD,Miner County,Carthage Wind Turbine,2002.0,1,0.11,Micon,M108,,,-97.74043,44.16902,False
10326,NM,Quay County,Casa Mesa,2018.0,21,50.9,GE Wind,GE2.5-127,89.0,127.0,-103.97613,34.63078,False
10346,OH,Cuyahoga County,Case Western University,2012.0,2,1.23,Nordex,N54,70.0,54.0,-81.49763,41.60219,False
10349,WI,Monroe County,Cashton Greens,2012.0,2,5.0,Clipper,C96,100.0,96.0,-90.8047,43.73369,False
10351,WY,Natrona County,Casper Wind Farm,2009.0,11,16.5,GE Wind,GE1.5-77,80.0,77.0,-106.21969,42.88329,False
10362,PA,Somerset County,Casselman,2007.0,23,34.5,GE Wind,GE1.5-77,80.0,77.0,-79.1096,39.86059,False
10385,ID,Twin Falls County,Cassia,2009.0,14,29.4,Suzlon,S88,79.0,88.0,-115.01749,42.8704,False
10399,IL,Livingston County,Cayuga Ridge,2010.0,150,300.0,Gamesa,G87-2.0,78.0,87.0,-88.38,40.96879,False
10549,KS,Ness County,Cedar Bluff,2015.0,111,198.7,GE Wind,GE1.79-100,80.0,100.0,-99.80352,38.63533,False
10660,CO,Weld County,Cedar Creek,2007.0,274,300.5,Mitsubishi,MWT62/1.0,69.0,61.4,-104.06679,40.85769,False
10937,CO,Weld County,Cedar Creek II,2011.0,123,250.8,Nordex,N90,80.0,90.0,-103.81449,40.91359,False
11059,ND,Bowman County,Cedar Hills,2010.0,13,19.5,GE Wind,GE1.5-77,80.0,77.0,-103.77059,46.24299,False
11072,CO,Lincoln County,Cedar Point,2011.0,139,250.2,Vestas,V90-1.8,80.0,90.0,-103.57029,39.5113,False
11211,WI,Fond du Lac County,Cedar Ridge Wind Farm,2008.0,41,67.65,Vestas,V82-1.65,80.0,82.0,-88.3223,43.70819,False
11253,WY,Converse County,Cedar Springs I,2020.0,72,199.4,GE Wind,GE2.82-127,89.0,127.0,-105.46204,43.12831,False
11327,WY,Converse County,Cedar Springs II,2020.0,73,202.22,GE Wind,GE2.82-127,89.0,127.0,-105.32034,42.90396,False
11401,WY,Converse County,Cedar Springs III,2020.0,48,133.28,GE Wind,GE2.82-127,89.0,127.0,-105.57016,43.06926,False
11449,TX,Webb County,Cedro Hill,2010.0,100,150.0,GE Wind,GE1.5-82.5,80.0,82.5,-98.95269,27.5368,False
11551,CA,San Bernardino County,Cemex Black Mountain Quarry,2012.0,2,3.0,GE Wind,GE1.5-77,80.0,77.0,-117.11113,34.62108,False
11553,CA,Yolo County,Cemex Madison,2012.0,1,1.5,GE Wind,GE1.5-77,80.0,77.0,-121.93519,38.6876,False
11554,CA,San Bernardino County,Cemex River Plant,2012.0,2,3.2,GE Wind,GE1.6-82.5,80.0,82.5,-117.30589,34.5601,False
11556,OK,Harper County,Centennial Wind Farm,2006.0,40,60.0,GE Wind,GE1.5-77,80.0,77.0,-99.63324,36.64882,False
11636,NE,Adams County,Central Community College-Hastings,2016.0,1,1.7,GE Wind,GE1.7-103,80.0,103.0,-98.3345,40.56924,False
11637,KS,Wichita County,Central Plains,2009.0,33,99.0,Vestas,V90-3.0,80.0,90.0,-101.15849,38.54139,False
11670,IA,Hamilton County,Century,2005.0,100,150.0,GE Wind,GE1.5-82.5,65.0,82.5,-93.6874,42.5537,False
11772,IA,Hamilton County,Century Expansion,2005.0,35,35.0,Mitsubishi,MWT62/1.0,69.0,61.4,-93.66599,42.50369,False
11818,IA,Cerro Gordo County,Cerro Gordo Repower,2020.0,48,199.8,GE Wind,GE2.3-116,80.0,116.0,-93.44816,43.05482,False
11834,SD,Brule County,Chamberlain Wind Project,2001.0,2,2.6,Nordex,N60,60.0,60.0,-99.24869,43.84769,False
11837,MN,Murray County,"Champepaden, Chandler Hills Phase II",2001.0,3,1.98,Vestas,V47-0.66,65.0,47.0,-95.95239,43.91929,False
11840,TX,Nolan County,Champion,2008.0,55,126.5,Siemens,SWT-2.3-93,80.0,93.0,-100.61179,32.3836,False
11895,MN,Murray County,Chanarambie,2003.0,57,85.5,GE Wind,GE1.5-70.5,80.0,70.5,-96.06023,44.03508,False
11952,TX,Nueces County,Chapman Ranch,2017.0,81,249.08,Nordex,AW125/3000,87.5,125.0,-97.47771,27.56277,False
12035,IA,Floyd County,Charles City,2008.0,50,75.0,GE Wind,GE1.5-91.5,80.0,91.5,-92.72649,43.00419,False
12086,MA,Suffolk County,Charlestown Wind Turbine,2011.0,1,1.5,Sinovel,SL1500,70.0,82.0,-71.071,42.39149,False
12087,PA,Blair County,Chestnut Flats,2011.0,19,38.0,Gamesa,G87-2.0,78.0,87.0,-78.48535,40.52028,False
12106,AK,Wade Hampton Census Area,Chevak,2009.0,4,0.4,Northern Power Systems,NW100,32.0,21.0,-165.60606,61.52424,False
12110,CO,Cheyenne County,Cheyenne Ridge,2020.0,16,36.8,Vestas,V120-2.2,80.0,120.0,-102.32264,38.97931,False
12344,OK,Garfield County,Chisholm View,2012.0,140,235.2,GE Wind,GE1.68-82.5,80.0,82.5,-97.76779,36.58509,False
12488,OK,Garfield County,Chisholm View II,2016.0,27,64.8,GE Wind,GE2.4-107,80.0,107.0,-97.69521,36.52554,False
12516,OR,Umatilla County,Chopin,2016.0,6,9.9,GE Wind,GE1.7-103,80.0,103.0,-118.47427,45.89413,False
12522,KS,Clark County,Cimarron Bend I,2016.0,100,200.0,Vestas,V110-2.0,80.0,110.0,-99.92653,37.37665,False
12623,KS,Clark County,Cimarron Bend II,2017.0,100,200.0,Vestas,V110-2.0,80.0,110.0,-99.94676,37.37711,False
12725,KS,Clark County,Cimarron Bend III,2020.0,74,198.84,GE Wind,GE2.82-127,89.0,127.0,-100.04388,37.41437,False
12801,KS,Gray County,Cimarron I,2012.0,72,165.6,Siemens,SWT-2.3-108,80.0,108.0,-100.23499,37.86409,False
12876,KS,Gray County,Cimarron II,2012.0,57,131.1,Siemens,SWT-2.3-108,80.0,108.0,-100.40309,37.87269,False
12933,TX,Lynn County,Cirrus 1,2012.0,17,61.2,China Creative Wind Energy,CCWE3.60-116,82.0,116.0,-101.67259,33.03299,False
12950,MN,Jackson County,Cisco,2008.0,4,8.4,Suzlon,S88,79.0,88.0,-95.3569,43.62589,False
12954,SD,Miner County,City of Howard Wind Turbines,2001.0,2,0.22,Micon,M108,,,-97.53852,44.00956,False
12956,MA,Middlesex County,City of Medford,2009.0,1,0.1,Northern Power Systems,NW100,30.0,21.0,-71.0991,42.40899,False
12957,NE,Seward County,City of Seward,2017.0,1,1.7,GE Wind,GE1.7-103,80.0,103.0,-97.18768,40.89528,False
12958,CA,Monterey County,City of Soledad Water Reclamation Facility,2014.0,1,1.85,GE Wind,GE1.85-82.5,80.0,82.5,-121.34016,36.42094,False
12959,IA,Story County,Clark Thompson 1,2009.0,1,0.9,,,,,-93.59239,42.20809,False
12960,OH,Lucas County,Clay High School,2012.0,1,0.9,PowerWind,PW56,71.0,56.0,-83.4135,41.65719,False
12961,KS,Cloud County,Cloud County Community College,2010.0,2,0.2,Nordtank,NPS-100,,,-97.6638,39.54881,False
12963,KS,Cloud County,Cloud Power,2010.0,3,0.35,Northern Power Systems,NW100,,21.0,-97.66431,39.54911,False
12964,WA,Pacific County,Coastal Energy,2010.0,4,6.0,GE Wind,GE1.5-77,80.0,77.0,-124.06468,46.7925,False
12968,VA,Northampton County,Coastal Virginia Offshore Wind,2020.0,2,12.0,Siemens Gamesa Renewable Energy,SWT-6.0-154,111.0,154.0,-75.49158,36.88684,False
12970,ID,Elmore County,Cold Springs,2012.0,60,138.0,Siemens,SWT-2.3-101,80.0,101.0,-115.44269,43.00919,False
13032,CO,Prowers County,Colorado Green Wind Project (Lamar),2003.0,108,162.0,GE Wind,GE1.5-70.5,80.0,70.5,-102.62024,37.71561,False
13139,CO,Logan County,Colorado Highlands,2013.0,14,23.8,GE Wind,GE1.7-100,85.0,100.0,-102.80489,40.74379,False
13195,OR,Umatilla County,Combine Hills I,2003.0,41,41.0,Mitsubishi,MWT62/1.0,55.0,61.4,-118.58139,45.92822,False
13237,OR,Umatilla County,Combine Hills II,2009.0,63,63.0,Mitsubishi,MWT62/1.0,69.0,61.4,-118.54128,45.93189,False
13301,MN,Lincoln County,Community Wind North,2011.0,12,30.0,Clipper,C96,80.0,96.0,-96.42929,44.26549,False
13313,MN,Nobles County,Community Wind South,2012.0,15,30.75,REpower,MM92,100.0,92.5,-95.81529,43.72299,False
13328,MO,Nodaway County,Conception Wind Project,2008.0,24,50.4,Suzlon,S88,79.0,88.0,-94.67139,40.23919,False
13352,OR,Gilliam County,"Condon Wind Project, phase I",2001.0,41,24.6,Mitsubishi,MWT600,60.0,47.0,-120.28159,45.28019,False
13393,OR,Gilliam County,"Condon Wind Project, phase II",2002.0,42,25.2,Mitsubishi,MWT600,60.0,47.0,-120.27189,45.28259,False
13436,OH,Ashtabula County,Conneaut Middle School,2010.0,1,0.6,Turbowinds,T-600-48,65.0,48.0,-80.5594,41.92619,False
13437,OH,Ashtabula County,Conneaut Waste Water Treatment,2010.0,1,0.4,Turbowinds,T-400-34,50.0,34.0,-80.55209,41.96879,False
13438,IA,Taylor County,Contrail,2020.0,41,112.42,GE Wind,GE2.82-127,89.0,127.0,-94.90746,40.5934,False
13479,OH,Van Wert County,Cooper Farms,2012.0,3,4.5,Goldwind,GW87,85.0,87.0,-84.5668,40.91499,False
13481,OH,Van Wert County,Cooper Farms Amendment,2012.0,3,4.5,Goldwind,GW87,85.0,87.0,-84.5668,40.91089,False
13482,NY,Lewis County,Copenhagen,2018.0,40,80.0,Vestas,V110-2.0,95.0,110.0,-75.63957,43.88184,False
13522,CA,Kern County,Coram Energy LLC,2005.0,6,9.0,GE Wind,EW 1.5S,,,-118.32479,35.06559,False
13530,MN,Faribault County,Corn Plus,2008.0,2,4.2,Suzlon,S88,79.0,88.0,-94.13929,43.76199,False
13532,CA,Monterey County,Correctional Training Facility,2018.0,1,1.7,GE Wind,GE1.7-100,80.0,100.0,-121.38157,36.46617,False
13533,WY,Laramie County,Corriedale Wind Energy Project,2020.0,21,59.22,GE Wind,GE2.82-127,89.0,127.0,-104.98985,41.12713,False
13554,TX,Floyd County,Cotton Plains Wind,2017.0,21,50.4,GE Wind,GE2.4-107,80.0,107.0,-101.21465,34.00378,False
13576,NE,Webster County,Cottonwood Wind,2017.0,40,89.96,GE Wind,GE2.3-116,80.0,116.0,-98.37452,40.27232,False
13616,ND,Stutsman County,Courtenay,2016.0,100,200.0,Vestas,V100-2.0,80.0,100.0,-98.55656,47.18417,False
13716,MO,Atchison County,Cow Branch Wind Project,2008.0,24,50.4,Suzlon,S88,79.0,88.0,-95.4577,40.48439,False
13740,TX,Scurry County,Coyote,2020.0,28,103.07,Siemens Gamesa Renewable Energy,SG-4.5-145,107.5,145.0,-100.87734,32.83815,False
13768,SD,Brookings County,Coyote Ridge,2019.0,39,96.7,GE Wind,GE2.5-127,89.0,127.0,-96.52407,44.45867,False
13806,IA,Howard County,Crane Creek,2009.0,66,99.0,GE Wind,GE1.5-77,80.0,77.0,-92.51759,43.40989,False
13872,TX,Refugio County,Cranell,2020.0,100,220.0,Vestas,V120-2.2,92.0,120.0,-97.39222,28.18416,False
13972,IL,Bureau County,Crescent Ridge I,2005.0,33,54.45,NEG Micon,NM82,80.0,82.0,-89.57719,41.23009,False
14005,NE,Platte County,Creston Ridge,2015.0,4,6.8,GE Wind,GE1.7-103,80.0,103.0,-97.38349,41.67759,False
14009,NE,Platte County,Creston Ridge Expansion,2017.0,3,6.9,GE Wind,GE2.3-116,80.0,116.0,-97.40482,41.67749,False
14012,MD,Somerset County,Crisfield Waste Water Treatment Plant,2017.0,1,0.75,Aeronautica,54-750,65.0,54.0,-75.85838,37.98283,False
14013,MD,Garrett County,Criterion,2010.0,28,70.0,Clipper,C96,80.0,96.0,-79.3344,39.37429,False
14041,SD,Clark County,Crocker,2019.0,77,209.44,GE Wind,GE2.72-116,90.0,116.0,-97.88677,45.0902,False
14118,NE,Knox County,Crofton Bluffs,2012.0,22,42.0,Vestas,V90-1.8,80.0,90.0,-97.57449,42.70779,False
14141,IA,Clay County,Cross Winds,2007.0,10,21.0,Suzlon,S88,79.0,88.0,-94.92289,43.04749,False
14151,MI,Tuscola County,Cross Winds Energy Park,2014.0,62,110.98,GE Wind,GE1.79-100,96.0,100.0,-83.49323,43.64431,False
14213,MI,Tuscola County,Cross Winds Energy Park II,2018.0,19,43.7,GE Wind,GE2.3-116,94.0,116.0,-83.4259,43.6308,False
14232,MI,Tuscola County,Cross Winds Energy Park III,2019.0,33,75.9,GE Wind,GE2.3-116,94.0,116.0,-83.36009,43.66567,False
14265,OK,Dewey County,Crossroads,2011.0,85,195.5,Siemens,SWT-2.3-101,80.0,101.0,-98.7553,36.0826,False
14363,SD,Aurora County,Crow Lake,2011.0,43,64.5,GE Wind,GE1.5-77,80.0,77.0,-98.78342,43.86451,False
14464,SD,Codington County,Crowned Ridge I,2019.0,87,200.1,GE Wind,GE2.3-116,90.0,116.0,-97.01067,45.08159,False
14551,SD,Deuel County,Crowned Ridge II,2020.0,88,200.6,GE Wind,GE2.3-116,90.0,116.0,-96.87737,44.89888,False
14641,IA,Hancock County,Crystal Lake I,2008.0,100,150.0,GE Wind,GE1.5-91,80.0,91.0,-93.86309,43.20709,False
14741,IA,Winnebago County,Crystal Lake II,2008.0,76,190.0,GE Wind,GE2.5-116,80.0,116.0,-93.70709,43.31939,False
14821,IA,Winnebago County,Crystal Lake III,2009.0,44,66.0,GE Wind,GE1.5-82.5,80.0,82.5,-93.88379,43.31919,False
14865,IA,Adair County,Cumberland Rose,2012.0,1,1.6,GE Wind,GE1.6-82.5,80.0,82.5,-94.43489,41.22709,False
14866,OH,Cuyahoga County,Cuyahoga County Fairgrounds,2012.0,1,0.5,Vestas,V39-0.5,61.0,39.0,-81.8392,41.36649,False
14867,MN,Stearns County,DH Blattner Headquarters,2009.0,1,0.1,Northern Power Systems,NPS-100,,,-94.44567,45.59433,False
14868,MN,Meeker County,Danielson,2011.0,12,19.8,Alstom,ECO 86,80.0,85.5,-94.74269,45.06619,False
14880,SD,Day County,Day County Wind Project,2010.0,66,99.0,GE Wind,GE1.5-82.5,80.0,82.5,-97.91699,45.27429,False
14947,TX,Hutchinson County,DeWind Little Pringle #1,2010.0,5,10.0,DeWind,D8.2,80.0,80.0,-101.54149,35.91089,False
14952,TX,Hutchinson County,DeWind Little Pringle #2,2010.0,5,10.0,DeWind,D8.2,80.0,80.0,-101.53989,35.953,False
14957,MI,Huron County,Deerfield,2017.0,72,149.0,Vestas,V110-2.0,95.0,110.0,-82.84779,43.94013,False
15029,VT,Bennington County,Deerfield Wind,2017.0,15,30.0,Gamesa,G97-2.0,78.0,97.0,-72.96923,42.84916,False
15044,AK,Southeast Fairbanks Census Area,Delta Junction,2009.0,1,0.1,Northern Power Systems,NW100,37.0,21.0,-145.59497,64.0144,False
15047,MA,Worcester County,"Department of Correction, NCCI Gardner",2011.0,2,3.3,Vestas,V82-1.65,80.0,82.0,-71.9382,42.58169,False
15049,TX,Pecos County,Desert Sky,2001.0,86,129.0,GE Wind,GE1.5-82.5,65.0,82.5,-102.12849,30.9279,False
15125,TX,Pecos County,Desert Sky Repower,2001.0,21,38.67,GE Wind,GE1.85-87.5,80.0,87.5,-102.07634,30.916,False
15140,CA,Alameda County,Diablo Winds,2004.0,31,20.46,Vestas,V47-0.66,60.0,47.0,-121.65819,37.77459,False
15171,OK,Johnston County,Diamond Spring,2020.0,112,310.64,GE Wind,GE2.82-127,89.0,127.0,-96.7504,34.47909,False
15283,IA,Iowa County,Diamond Trail,2020.0,46,168.8,Vestas,V136-4.3,105.0,136.0,-92.14601,41.67981,False
15329,IA,Iowa County,Diamond Trail Expansion,2020.0,31,83.7,Vestas,V110-2.2,95.0,110.0,-92.14018,41.72224,False
15360,KS,Marion County,Diamond Vista,2018.0,95,299.25,Nordex,AW125/3150,87.5,125.0,-97.25205,38.55489,False
15455,MT,Fallon County,Diamond Willow Wind,2008.0,12,18.0,GE Wind,GE1.5-77,80.0,77.0,-104.19209,46.27389,False
15467,MT,Fallon County,Diamond Willow extension,2010.0,7,10.5,GE Wind,GE1.5-77,80.0,77.0,-104.15989,46.27429,False
15475,CA,Riverside County,Dillon,2008.0,45,45.0,Mitsubishi,MWT62/1.0,69.0,61.4,-116.56869,33.9166,False
15520,OR,Marion County,Doerfler Farms,2011.0,1,0.25,Siva,SI.250,30.0,30.0,-122.80687,44.86757,False
15521,MN,Nobles County,Don Sneve Wind Farms,2003.0,1,0.95,NEG Micon,NM54,70.0,54.0,-95.84367,43.74775,False
15522,OK,Grady County,Drift Sand,2016.0,54,108.0,Vestas,V110-2.0,80.0,110.0,-97.97049,34.83623,False
15576,AZ,Navajo County,Dry Lake,2009.0,30,63.0,Suzlon,S88,79.0,88.0,-110.25839,34.67059,False
15606,AZ,Navajo County,Dry Lake II,2010.0,31,65.1,Suzlon,S88,79.0,88.0,-110.15979,34.5984,False
15637,WY,Carbon County,Dunlap,2010.0,74,111.0,GE Wind,GE1.5-77,80.0,77.0,-106.15289,42.02319,False
15711,OR,Baker County,Durbin Creek,2017.0,5,10.0,GE Wind,GE2.0-116,80.0,116.0,-117.32028,44.3527,False
15716,NY,Steuben County,Dutch Hill/Cohocton,2009.0,50,125.0,Clipper,C96,80.0,96.0,-77.4145,42.55229,False
15766,VT,Chittenden County,Dynapower,2010.0,1,0.1,Northern Power Systems,NPS-100,,,-73.1551,44.44299,False
15767,KS,Thomas County,East Fork,2020.0,72,195.84,GE Wind,GE2.72-116,90.0,116.0,-100.86164,39.31855,False
15839,TX,Cameron County,East Raymond,2020.0,91,200.0,Vestas,V120-2.2,92.0,120.0,-97.80113,26.30656,False
15929,MN,Murray County,East Ridge,2006.0,8,10.0,Suzlon,S64-1.25,,64.0,-95.92217,43.93918,False
15937,MI,Huron County,Echo,2014.0,70,112.0,GE Wind,GE1.6-100,96.0,100.0,-83.1886,43.92589,False
16007,OR,Umatilla County,Echo 1-7,2009.0,27,44.55,Vestas,V82-1.65,80.0,82.0,-119.40508,45.7063,False
16034,OR,Umatilla County,Echo 8-9,2009.0,10,20.0,REpower,MM92,80.0,92.5,-119.40768,45.71809,False
16044,IA,Guthrie County,Eclipse,2012.0,87,200.1,Siemens,SWT-2.3-108,80.0,108.0,-94.65989,41.54269,False
16118,WY,Carbon County,Ekola Flats,2020.0,63,250.9,Vestas,V136-4.3,82.0,136.0,-106.35397,41.96127,False
16132,IL,Stephenson County,EcoGrove,2009.0,67,100.5,Acciona,AW82/1500,80.0,82.0,-89.89739,42.45569,False
16199,CA,Riverside County,Edom Hills (repower),2008.0,8,20.0,Clipper,C93,80.0,93.0,-116.46769,33.8845,False
16269,NM,Torrance County,El Cabo,2017.0,142,298.2,Gamesa,G114-2.1,80.0,114.0,-105.64476,34.82195,False
16411,TX,Knox County,El Campo,2020.0,67,242.8,Vestas,V150-4.2,105.0,150.0,-99.79149,33.73614,False
16478,TX,Hidalgo County,El Cortijo,2018.0,1,3.0,Nordex,AW116/3000,120.0,116.0,-98.19639,26.77917,False
16479,KS,Butler County,El Dorado Wind Power,2012.0,1,1.0,Nordic,N1000,70.0,59.0,-96.85109,37.79699,False
16480,TX,Howard County,Elbow Creek Wind Farm,2008.0,53,121.9,Siemens Gamesa Renewable Energy,SG-2.3-108,80.0,108.0,-101.41619,32.1325,False
16481,TX,Wilbarger County,Electra Wind,2016.0,100,230.0,GE Wind,GE2.3-116,80.0,116.0,-99.0405,34.06809,False
16534,IA,Hardin County,Eldora-New Providence Schools,2002.0,1,0.75,NEG Micon,NM48,55.0,48.0,-93.1156,42.35476,False
16634,IA,Delaware County,Elk,2011.0,17,42.5,Nordex,N100,100.0,100.0,-91.3635,42.61939,False
16651,OK,Roger Mills County,Elk City,2009.0,43,98.9,Siemens,SWT-2.3-93,80.0,93.0,-99.88879,35.47549,False
16694,OK,Roger Mills County,Elk City II,2010.0,66,101.16,GE Wind,GE1.5-91,80.0,91.0,-99.65869,35.49849,False
16760,KS,Butler County,Elk River,2005.0,100,150.0,GE Wind,GE1.5-77,80.0,77.0,-96.53939,37.56209,False
16860,NE,Knox County,Elkhorn Ridge,2009.0,27,81.0,Vestas,V90-3.0,80.0,90.0,-97.62519,42.69089,False
16887,OR,Union County,Elkhorn Valley (08),2008.0,2,3.3,Vestas,V82-1.65,70.0,82.0,-117.78909,45.10939,False
16888,OR,Union County,Elkhorn Valley (La Grande),2007.0,59,97.35,Vestas,V82-1.65,70.0,82.0,-117.80039,45.11799,False
16902,MN,Jackson County,Elm Creek,2008.0,66,99.0,GE Wind,GE1.5-77,80.0,77.0,-94.95049,43.77119,False
17014,MN,Jackson County,Elm Creek II,2010.0,62,148.8,Mitsubishi,MWT95/2.4,80.0,95.0,-94.86589,43.70089,False
17076,AK,Wade Hampton Census Area,Emmonak 1,2011.0,4,0.4,Northern Power Systems,NW100,37.0,21.0,-164.56198,62.7838,False
17080,ND,Logan County,Emmons-Logan,2019.0,102,216.44,GE Wind,GE1.72-103,80.0,103.0,-99.90744,46.40194,False
17183,IA,Osceola County,Endeavor,2008.0,30,75.0,GE Wind,GE2.5-116,80.0,116.0,-95.40249,43.38909,False
17223,IA,Osceola County,Endeavor II,2008.0,20,50.0,GE Wind,GE2.5-116,80.0,116.0,-95.4567,43.43229,False
17243,IA,Poweshiek County,English Farms,2019.0,69,170.3,GE Wind,GE2.5-127,89.0,127.0,-92.36263,41.5695,False
17312,KS,Gray County,Ensign,2012.0,43,98.9,Siemens,SWT-2.3-108,80.0,108.0,-100.28489,37.61449,False
17355,MN,Dakota County,Eolos,2011.0,1,2.5,Clipper,C96,80.0,96.0,-93.04807,44.7283,False
17356,MA,Essex County,Equity Industrial Partners,2012.0,2,4.0,Gamesa,G90-2.0,78.0,90.0,-70.6558,42.62519,False
17358,IL,Whiteside County,Erie Community School District 1,2008.0,1,1.2,Vensys,Vensys64,70.0,64.0,-90.07919,41.64764,False
17359,OH,Ottawa County,Erie Industrial Park,2014.0,1,0.9,PowerWind,PW56,59.0,56.0,-83.03546,41.54543,False
17360,IL,Ogle County,Eswood School,2012.0,1,0.23,NEG Micon,M530,,,-89.0332,42.05679,False
17361,AK,Denali Borough,Eva Creek,2012.0,12,24.6,REpower,MM92,78.5,92.5,-148.91228,64.0617,False
17373,WY,Uinta County,Evanston (Wyoming Wind Energy Center),2003.0,80,144.0,Vestas,V80-1.8,67.0,80.0,-110.80097,41.32633,False
17454,WI,Rock County,Evansville WWTP,2010.0,1,0.1,Northern Power Systems,NW100,37.0,21.0,-89.28005,42.77765,False
17455,MN,Jackson County,Ewington,2008.0,10,21.0,Suzlon,S88,79.0,88.0,-95.43188,43.61726,False
17465,TX,Moore County,Exelon Wind 11,2009.0,8,10.0,Suzlon,S64-1.25,73.0,64.0,-101.98993,35.80818,False
17466,WY,Laramie County,F.E. Warren Air Force Base,2005.0,2,1.32,Vestas,V47-0.66,50.0,47.0,-104.88299,41.176,False
17468,KS,Ellis County,FHSU Wind,2013.0,2,4.0,Vestas,V100-2.0,80.0,110.0,-99.40569,38.87389,False
17469,MD,Garrett County,Fair Wind,2015.0,12,30.0,Nordex,N100,100.0,100.0,-79.39831,39.31517,False
17481,MI,Delta County,Fairbanks Wind Park,2020.0,21,72.45,Siemens Gamesa Renewable Energy,SG-3.4-132,84.0,132.0,-86.6395,45.69103,False
17501,MT,Teton County,Fairfield Wind Farm,2014.0,6,10.0,GE Wind,GE1.7-100,80.0,100.0,-111.96532,47.72327,False
17507,MA,Bristol County,Fairhaven Wind,2012.0,2,3.0,Sinovel,SL1500,80.0,82.0,-70.8734,41.63909,False
17509,MN,Martin County,Fairmont Wind (SMMPA),2004.0,2,3.3,Vestas,V82-1.65,70.0,82.0,-94.44119,43.57929,False
17511,MA,Barnstable County,Falmouth II,2012.0,1,1.65,Vestas,V82-1.65,80.0,82.0,-70.6215,41.60929,False
17512,MA,Barnstable County,Falmouth Notus,2010.0,1,1.65,Vestas,V82-1.65,80.0,82.0,-70.6089,41.60849,False
17513,MA,Barnstable County,Falmouth Wastewater,2010.0,1,1.65,Vestas,V82-1.65,80.0,82.0,-70.6208,41.60589,False
17514,TX,Randall County,Falvez Astra,2017.0,68,163.2,GE Wind,GE2.4-107,80.0,107.0,-102.08437,34.76146,False
17583,MN,Jackson County,Farmer's,2004.0,6,5.7,NEG Micon,NM54,70.0,54.0,-95.37032,43.65133,False
17589,MO,Atchison County,Farmers City,2009.0,73,146.0,Gamesa,G87-2.0,78.0,87.0,-95.39549,40.57329,False
17662,MN,Pipestone County,Farmers' coops/Westridge,2003.0,18,17.1,Suzlon,S64,63.0,64.0,-96.2234,43.9846,False
17681,MN,Martin County,Federated Rural Electric,2008.0,1,2.1,Suzlon,S88,79.0,88.0,-94.592,43.67679,False
17682,NY,Madison County,Fenner Wind Power Project,2001.0,20,30.0,GE Wind,GE1.5-70.5,65.0,70.5,-75.7603,42.97689,False
17701,NY,Madison County,Fenner Wind Power Project - Repower,2012.0,1,1.5,Goldwind,GW82,85.0,82.0,-75.76788,42.97552,False
17702,MN,Murray County,Fenton,2007.0,137,205.5,GE Wind,GE1.5-77,80.0,77.0,-96.00279,43.89599,False
17840,RI,Providence County,Field's Point Wastewater Treatment Facilit,2012.0,3,4.5,Goldwind,GW82,70.0,82.0,-71.3901,41.79539,False
17843,AK,Matanuska-Susitna Borough,Fire Island Project,2012.0,11,17.6,GE Wind,GE1.6-82.5,80.0,82.5,-150.21597,61.1395,False
17854,KS,Harper County,Flat Ridge 2,2012.0,294,470.4,GE Wind,GE1.6-100,80.0,100.0,-98.31639,37.35209,False
18116,KS,Harper County,Flat Ridge 2 Expansion,2012.0,294,470.4,GE Wind,GE1.6-87,80.0,87.0,-98.32119,37.32299,False
18148,KS,Barber County,Flat Ridge Wind Farm,2009.0,40,100.0,Clipper,C96,80.0,96.0,-98.44229,37.3654,False
18188,TX,Mills County,Flat Top,2018.0,100,200.0,Vestas,V110-2.0,95.0,110.0,-98.53696,31.55235,False
18289,NE,Richardson County,Flat Water,2010.0,40,60.0,GE Wind,GE1.5-82.5,80.0,82.5,-95.88269,40.00169,False
18329,TX,Scurry County,Fluvanna I,2017.0,74,155.4,Gamesa,G114-2.1,80.0,114.0,-101.13757,32.93055,False
