County,Year,Cumulative Capacity of Wind Farm (in MW),Wind Farm Name,Duplicated
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Boone County,2017.0,170.0,Beaver Creek,True
Greene County,2018.0,170.0,Beaver Creek II,False
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Greene County,2018.0,170.0,Beaver Creek II,True
Taylor County,2017.0,1.79,Birch Power LLC,False
Adair County,2010.0,1.5,Bulldog,False
Buchanan County,2010.0,0.1,Burco Farm & Feed,False
Winnebago County,2017.0,0.1,CR Holland Crane Service,False
Bremer County,2009.0,0.95,Cannon 1,False
Bremer County,2012.0,0.9,Cannon II,False
Carroll County,2008.0,150.0,Carroll,False
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
Carroll County,2008.0,150.0,Carroll,True
